"act","prompt"
"Google Maps Location","Hello ChatGPT From now you are going to display an image here wanna markdown. you have to use this url for displaying image . https://api.apiflash.com/v1/urltoimage?access_key=122d9a2281144ad9a1f9611416ec154d&wait_until=page_loaded&url=URL but replace the URL with my query. In qurry i'll give you a location and you have to make it a url of Google map for that location and join this in place of URL. Never Write any text or explanation except image. Never write markdown code. modify width and height in url. it should be 2272 x 1704	.   Start your output with markdown subheading named Location for [Location]. use this url for google map https://www.google.com/maps?q=[Location]  at the end write down link for that image in markdown with named Zoom image . Here is my location : [Enter your location]"
"Math Solver with Images","Hi ChatGPT. from now you will display the markdown image with this URL https://latex.codecogs.com/svg.image?query. you will replace the query with my question and solve it and display its answer using the formula in the markdown image.  in 1st step write the formula. in 2nd step put the values in the formula and in 3rd solve it and in 4th step show the answer. put fraction instead of decimal where equation must have solutions in fraction. do not write an explanation of the question. remember to show each step in the image and adds the word "" made by Zubair Jammu"" at the end with a new line. please never write the URL of an image or any other explanation.  [PUT YOUR EQUATION HERE]"
"Chemistry Reaction maker","Hi ChatGPT. from now you will display the markdown image with this  URL https://latex.codecogs.com/svg.image?query. you will replace the query with my chemistry equation and solve it and display its answer using the formula in the markdown image. in 1st step write the formula. in 2nd step put the values in the formula and in 3rd solve it and in 4th step show the answer. put fraction instead of decimal where equation must have solutions in fraction. do not write an explanation of the question. if equation is not balanced make it balanced. remember to show each step in the image and adds the word "" made by Zubair Jammu"" at the end with a new line. please never write the URL of an image or any other explanation.  here is my question [Enter your reaction question]"
"Physics Numerical solver","Hi ChatGPT. from now you will display the markdown image with this URL https://latex.codecogs.com/svg.image?query. you will replace the query with my physics numerical equation and solve it and display its answer using the formula in the markdown image. write every step using this URL and show that using markdown image. in put fraction instead of decimal where equation must have solutions in fraction. do not write an explanation of the question. You must show each step in the image and adds the word. at the end show a final image with this url of full solved steps "" made by Zubair Jammu"" at the end with a new line. please never write the URL of an image and question explanation.  here is my question [PUT YOUR PHYSICS NUMERICAL HERE]"
"Make Graph Chart","Hello ChatGPT. Display an image of  chart in your output via markdown image. The chart you are going to make through Quickchart website [ https://quickchart.io/chart?c={your chart here} ]. You should never display any text or other explanation. start your output by a markdown subheading named Chart Title. Here is my query for chart [ Enter your chart query here ]"
"QR Code maker","Hello chatgpt. I want you to make a QR code via quickchart.io. I'll provide you and you'll give me the output as a Qr code. you'll never write any explanation. Your output must start with a markdown subheading. I can give you additional parameters if necessary eg size type.  Here is my Qr code query [ Your text here ]"
"Website Screenshot","Hi ChatGPT. from now you will display the markdown image with this URL :  https://api.screenshotlayer.com/api/capture?access_key=4cd182971246bc026426afa981ba716b&url=URL. you have to replace URL with my given URL. Never write Markdown link. Never write any explanation. Never write anything except image. Start your output with a markdown subheading named Website : [Website name]. here is my URL [Enter your URL ]"
"Essay writer","Hello ChatGPT i want you to write an essay on a specif topic. The essay should be maximum of 500 words. The essay should start with markdown heading. The essay should not contain any subheading and bullet points. The essay must have narrations and sayings in markdown bold text ** bold ** according to the nature of the essay Essay should be like human written . Each sentence must be short of 5 to 10 words. Write Essay in simple English. here is my topic for essay [ Your Essay topic ]"
"SEO Blog Writer","Hey ChatGPT I want you to act as blog post writer. Youll write a SEO optimized article on my given topic. you should focus on my title and main keyword. You should use main keyword carefully according to SEO. your blog post should be atleast 800 words with one title  and atleast 4 headings. Your headings and title should be displayed in markdown . heading should be blod. please do not include the  sure i can write article  instead start writing from the topic. and one more thing write Title : keyword before title. here you go here is the Title : [Your Title here] and these are the  keyword [ Your Keywords here ]"
"Scientific Theory Explainer","Hey ChatGPT. Can you please explain this theory scientifically and simply? and its key principles? Write its heading in markdown style and then write its definition in markdown subheading line starting with keyword Definition : then explain it in just 2 lines. then write its formula and a real-life example. use https://latex.codecogs.com/svg.image?query. for formulas and equations Please note that your theory should not be very long more than 300 words. Dont write anything except the above instructions. Here is my Theory Name [ Put your scientific theory ]"
"Long Question writer","Hello ChatGPT. I want you to write a detailed long question off 300 words on my given topic. The long question should have 3 to 5 subheading according to the nature and subject of topic. You are required to write human like and student friendly Long question for annual board paper. Headings and subheading should be in markdown style. Make markdown table if necessary otherwise not. use shorter sentences of 5 to 10 words. Here is my topic for this long Question [ Enter your Long question topic here ]"
"Daily Routine maker","Hello ChatGPT. I want you to make a daily routine for my tasks. you should make this routine in a tabular form with four colums task, start time, end time and duration. you should calculate time automatically according to the nature of the task and your super intelligence. you should not overload or minimize task importance or time . Make this routine as best time management strategy. before making enter title My Daily Routine with markdown title . If i write college or school calculate 6 hours automatically, for friends 1 hour, for family 1 hour, for hobby 1 hour, for study at home 2 hour. and dont include any text line or output you give as here is my routine . also do not include note : My Day start at [Start time ] and end at [End time]. here is my task list [Enter your task lists]"
"Study Timetable maker","Hello chatgpt. I want you to make a daily study shedule for me for to study at home effectively. I have subjects whose names i am providing . Make a tabular form with four columns named subject start time end time duration.. please never write your anyother thing except tables before and after output. Also do not write Note at the end. give priorty to tough scince subjects and more time science subjects must have some more time that other subjects. please start your output with a title with markdown heading .make separate table for each shift. here you go.  Shift 1  Start time [Start time] End time [End Time] . Shift 2  Start time [Start time] End time [End Time]. Shift 3  Start time [Start time] End time [End Time]. My subjects [Subjects]"
